,Time,VarName,Value
253,86400.0,"combiTimeTable.table[2, 2]",0.5726147890090942
254,86400.0,"combiTimeTable.table[2, 3]",0.0
255,86400.0,"combiTimeTable.table[2, 4]",0.0
256,86400.0,"combiTimeTable.table[2, 5]",0.0
257,86400.0,"combiTimeTable.table[20, 1]",55800.0
258,86400.0,"combiTimeTable.table[20, 2]",0.6056493520736694
259,86400.0,"combiTimeTable.table[20, 3]",2.0
260,86400.0,"combiTimeTable.table[20, 4]",1.0
261,86400.0,"combiTimeTable.table[20, 5]",0.0
262,86400.0,"combiTimeTable.table[21, 1]",64740.0
263,86400.0,"combiTimeTable.table[21, 2]",0.6993879079818726
264,86400.0,"combiTimeTable.table[21, 3]",2.0
265,86400.0,"combiTimeTable.table[21, 4]",1.0
266,86400.0,"combiTimeTable.table[21, 5]",0.0
267,86400.0,"combiTimeTable.table[22, 1]",64800.0
268,86400.0,"combiTimeTable.table[22, 2]",0.5099914073944092
269,86400.0,"combiTimeTable.table[22, 3]",0.0
270,86400.0,"combiTimeTable.table[22, 4]",0.0
271,86400.0,"combiTimeTable.table[22, 5]",3.0
272,86400.0,"combiTimeTable.table[23, 1]",66540.0
273,86400.0,"combiTimeTable.table[23, 2]",0.5406659841537476
274,86400.0,"combiTimeTable.table[23, 3]",0.0
275,86400.0,"combiTimeTable.table[23, 4]",0.0
276,86400.0,"combiTimeTable.table[23, 5]",3.0
277,86400.0,"combiTimeTable.table[24, 1]",66600.0
278,86400.0,"combiTimeTable.table[24, 2]",0.5459012389183044
279,86400.0,"combiTimeTable.table[24, 3]",0.0
280,86400.0,"combiTimeTable.table[24, 4]",0.0
281,86400.0,"combiTimeTable.table[24, 5]",0.0
282,86400.0,"combiTimeTable.table[25, 1]",68400.0
283,86400.0,"combiTimeTable.table[25, 2]",0.5513070821762085
284,86400.0,"combiTimeTable.table[25, 3]",0.0
285,86400.0,"combiTimeTable.table[25, 4]",0.0
286,86400.0,"combiTimeTable.table[25, 5]",0.0
287,86400.0,"combiTimeTable.table[26, 1]",86400.0
288,86400.0,"combiTimeTable.table[26, 2]",0.6693125367164612
289,86400.0,"combiTimeTable.table[26, 3]",0.0
290,86400.0,"combiTimeTable.table[26, 4]",0.0
291,86400.0,"combiTimeTable.table[26, 5]",0.0
292,86400.0,"combiTimeTable.table[3, 1]",28740.0
293,86400.0,"combiTimeTable.table[3, 2]",0.6076707243919373
294,86400.0,"combiTimeTable.table[3, 3]",0.0
295,86400.0,"combiTimeTable.table[3, 4]",0.0
296,86400.0,"combiTimeTable.table[3, 5]",0.0
297,86400.0,"combiTimeTable.table[4, 1]",28800.0
298,86400.0,"combiTimeTable.table[4, 2]",0.6651499271392822
299,86400.0,"combiTimeTable.table[4, 3]",0.0
300,86400.0,"combiTimeTable.table[4, 4]",0.0
301,86400.0,"combiTimeTable.table[4, 5]",3.0
302,86400.0,"combiTimeTable.table[5, 1]",30540.0
303,86400.0,"combiTimeTable.table[5, 2]",0.5133426785469055
304,86400.0,"combiTimeTable.table[5, 3]",0.0
305,86400.0,"combiTimeTable.table[5, 4]",0.0
306,86400.0,"combiTimeTable.table[5, 5]",3.0
307,86400.0,"combiTimeTable.table[6, 1]",30600.0
308,86400.0,"combiTimeTable.table[6, 2]",0.43349236249923706
309,86400.0,"combiTimeTable.table[6, 3]",1.0
310,86400.0,"combiTimeTable.table[6, 4]",2.0
311,86400.0,"combiTimeTable.table[6, 5]",0.0
312,86400.0,"combiTimeTable.table[7, 1]",36000.0
313,86400.0,"combiTimeTable.table[7, 2]",0.5942683815956116
314,86400.0,"combiTimeTable.table[7, 3]",1.0
315,86400.0,"combiTimeTable.table[7, 4]",2.0
316,86400.0,"combiTimeTable.table[7, 5]",0.0
317,86400.0,"combiTimeTable.table[8, 1]",36060.0
318,86400.0,"combiTimeTable.table[8, 2]",0.5340250134468079
319,86400.0,"combiTimeTable.table[8, 3]",1.0
320,86400.0,"combiTimeTable.table[8, 4]",2.0
321,86400.0,"combiTimeTable.table[8, 5]",1.0
322,86400.0,"combiTimeTable.table[9, 1]",37800.0
323,86400.0,"combiTimeTable.table[9, 2]",0.5382261276245117
324,86400.0,"combiTimeTable.table[9, 3]",1.0
325,86400.0,"combiTimeTable.table[9, 4]",2.0
326,86400.0,"combiTimeTable.table[9, 5]",1.0
327,86400.0,combiTimeTable.timeScale,1.0
328,86400.0,combiTimeTable.verboseRead,1.0
329,86400.0,combiTimeTable.y[1],0.6693125367164612
330,86400.0,combiTimeTable.y[2],0.0
331,86400.0,combiTimeTable.y[3],0.0
332,86400.0,combiTimeTable.y[4],0.0
333,86400.0,combiTimeTable_huanchong.columns[1],2.0
334,86400.0,combiTimeTable_huanchong.extrapolation,2.0
335,86400.0,combiTimeTable_huanchong.nout,1.0
336,86400.0,combiTimeTable_huanchong.offset[1],0.0
337,86400.0,combiTimeTable_huanchong.smoothness,3.0
338,86400.0,combiTimeTable_huanchong.startTime,0.0
339,86400.0,combiTimeTable_huanchong.t_max,86400.0
340,86400.0,combiTimeTable_huanchong.t_maxScaled,86400.0
341,86400.0,combiTimeTable_huanchong.t_min,0.0
342,86400.0,combiTimeTable_huanchong.t_minScaled,0.0
343,86400.0,combiTimeTable_huanchong.tableOnFile,0.0
344,86400.0,"combiTimeTable_huanchong.table[1, 1]",0.0
345,86400.0,"combiTimeTable_huanchong.table[1, 2]",0.30000001192092896
346,86400.0,"combiTimeTable_huanchong.table[10, 1]",37860.0
347,86400.0,"combiTimeTable_huanchong.table[10, 2]",0.9038633704185486
348,86400.0,"combiTimeTable_huanchong.table[11, 1]",43140.0
349,86400.0,"combiTimeTable_huanchong.table[11, 2]",0.9900000095367432
350,86400.0,"combiTimeTable_huanchong.table[12, 1]",43200.0
351,86400.0,"combiTimeTable_huanchong.table[12, 2]",0.5853440165519714
352,86400.0,"combiTimeTable_huanchong.table[13, 1]",44940.0
353,86400.0,"combiTimeTable_huanchong.table[13, 2]",0.7077751755714417
354,86400.0,"combiTimeTable_huanchong.table[14, 1]",45000.0
355,86400.0,"combiTimeTable_huanchong.table[14, 2]",0.965149462223053
356,86400.0,"combiTimeTable_huanchong.table[15, 1]",48540.0
357,86400.0,"combiTimeTable_huanchong.table[15, 2]",0.30000001192092896
